,101,Rok,Cislo,Strana,URL
93,1589831,1902,17.0,4.0,https://www.ndk.cz/view/uuid:b7b4c67f-435d-11dd-b505-00145e5790ea?page=uuid:24069907-47bb-4417-a359-9b606c90177b
94,1589869,1937,648.0,7.0,https://www.ndk.cz/view/uuid:74140ce0-37f1-11dd-b7cc-000d606f5dc6?page=uuid:d8286450-b2b5-4d0f-a6b7-170f3a521209
95,1589895,1943,7.0,2.0,https://www.ndk.cz/view/uuid:8d7b2560-6e06-11dd-b721-000d606f5dc6?page=uuid:89173565-b58d-4ca2-8642-11657a1e555e
96,1593774,1943,7.0,2.0,https://www.ndk.cz/view/uuid:8d7b2560-6e06-11dd-b721-000d606f5dc6?page=uuid:89173565-b58d-4ca2-8642-11657a1e555e
97,1589974,1945,40.0,2.0,https://www.ndk.cz/view/uuid:c7fd9370-63f3-11dd-821c-000d606f5dc6?page=uuid:bc4951af-2ce2-4f07-8336-2a89991bc291
98,1589990,1943,22.0,1.0,https://www.ndk.cz/view/uuid:773b2670-6f68-11dd-a610-000d606f5dc6?page=uuid:02f46633-2ff5-4304-8980-8713de248e57
99,1589990,1943,22.0,1.0,https://www.ndk.cz/view/uuid:d6f5d560-6f68-11dd-a9c2-000d606f5dc6?page=uuid:eee8b78f-6a6b-47cb-bc15-a14bad580854
100,1590129,1938,271.0,7.0,https://www.ndk.cz/view/uuid:736f78c0-83fe-11dd-81da-000d606f5dc6?page=uuid:a9417bcd-92ac-453b-a0aa-040ce0744e77
101,1590146,1938,213.0,9.0,https://www.ndk.cz/view/uuid:3168ef00-48f9-11dd-afbe-000d606f5dc6?page=uuid:25a939b1-4876-49cc-9e37-4119d9412ae2
102,1590189,1935,288.0,7.0,https://www.ndk.cz/view/uuid:44f92280-25b1-11dd-9d28-000d606f5dc6?page=uuid:2ba72e55-b6ab-45b4-8e63-0e05308d1b2d
103,1590203,1919,50.0,1.0,https://www.ndk.cz/view/uuid:268205e0-61e6-11dc-8805-000d606f5dc6?page=uuid:39f358cf-e544-4762-811b-8173231e8c85
104,1590317,1941,10.0,9.0,https://www.ndk.cz/view/uuid:6e6d4ec0-4933-11dd-b07c-000d606f5dc6?page=uuid:1aaec806-e701-48ec-9c2c-37ff1d8f0d1d
105,1590321,1941,654.0,5.0,https://www.ndk.cz/view/uuid:9fcebef0-6ae3-11dd-8c3a-000d606f5dc6?page=uuid:10095cb1-05f3-443d-bd49-40a7293f8e2e
106,1590375,1943,215.0,9.0,https://www.ndk.cz/view/uuid:76fc82d0-6dd3-11dd-9aeb-000d606f5dc6?page=uuid:4d8dfb3e-6683-4c33-b7c5-8d43c45149f8
107,1590694,1935,614.0,7.0,https://www.ndk.cz/view/uuid:7bdf6210-2696-11dd-95d0-000d606f5dc6?page=uuid:7f4b7663-1bb2-44cb-af10-c4b33f49006d
108,1590735,1945,21.0,2.0,https://www.ndk.cz/view/uuid:e0ccbab0-63ef-11dd-97b7-000d606f5dc6?page=uuid:806d485d-d33a-403e-9505-67d23cfbbe2d
109,1591699,1943,231.0,1.0,https://www.ndk.cz/view/uuid:56930dd0-6de1-11dd-9cbb-000d606f5dc6?page=uuid:ee3d8460-9698-4565-ac6d-fba573949429
110,1591847,1939,233.0,9.0,https://www.ndk.cz/view/uuid:596eb4c0-527d-11dd-b035-000d606f5dc6?page=uuid:4635792e-28b4-464d-90b4-36edc689ea00
111,1591907,1936,432.0,9.0,https://www.ndk.cz/view/uuid:ea7c6c60-30cb-11dd-b2fa-000d606f5dc6?page=uuid:acbee662-deb4-450f-8d52-05b31c0b98f1
112,1592129,1941,169.0,2.0,https://www.ndk.cz/view/uuid:b36e4cc0-6f50-11dd-be57-000d606f5dc6?page=uuid:3645696e-714d-4d84-9fa2-2b3190932257
113,1592160,1935,619.0,7.0,https://www.ndk.cz/view/uuid:cd6bee30-2698-11dd-9b9d-000d606f5dc6?page=uuid:45702628-4c9c-4561-8a7e-4e51409e0f5f
114,1592938,1935,619.0,7.0,https://www.ndk.cz/view/uuid:cd6bee30-2698-11dd-9b9d-000d606f5dc6?page=uuid:45702628-4c9c-4561-8a7e-4e51409e0f5f
115,1592818,1944,43.0,1.0,https://www.ndk.cz/view/uuid:fed9f780-7a9b-11dd-8895-000d606f5dc6?page=uuid:853f7adf-88eb-4d3d-aa31-473ccf956e7b
116,1592927,1938,81.0,9.0,https://www.ndk.cz/view/uuid:3733edf0-3b9c-11dd-8fbf-000d606f5dc6?page=uuid:51c80fc4-939d-4d86-9aa8-e54eff3f1ce4
117,1593044,1943,229.0,9.0,https://www.ndk.cz/view/uuid:882f1cf0-6dda-11dd-8c08-000d606f5dc6?page=uuid:4afcc284-888a-4244-b65a-280a0b243664
118,1593049,1936,424.0,7.0,https://www.ndk.cz/view/uuid:b5ad1850-30ca-11dd-a62e-000d606f5dc6?page=uuid:c3a014bd-122b-46e9-b048-4b9d770a6f0f
119,1593078,1941,246.0,9.0,https://www.ndk.cz/view/uuid:6cfc9710-6d2a-11dd-9270-000d606f5dc6?page=uuid:7c7ffe3d-c562-4fd6-9d38-6cbfac9da983
120,1593149,1941,409.0,7.0,https://www.ndk.cz/view/uuid:5e554220-69f6-11dd-8c99-000d606f5dc6?page=uuid:b0b1604f-3157-4bbd-981e-6cd9a8309cac
121,1593378,1938,618.0,9.0,https://www.ndk.cz/view/uuid:4c54a3e0-7838-11dd-a9c4-000d606f5dc6?page=uuid:479c2e6a-559e-4a17-b345-e2ddf7ce3c31
122,1593561,1937,639.0,9.0,https://www.ndk.cz/view/uuid:044c3ec0-37ef-11dd-adfb-000d606f5dc6?page=uuid:78a2a7ec-b46d-4811-b11c-f02f8e6f754c
123,1593918,1937,1.0,9.0,https://www.ndk.cz/view/uuid:c996c4a0-2cca-11dd-92a2-000d606f5dc6?page=uuid:e54acf63-1750-4a41-85be-840ca695da45
124,1593970,1938,31.0,7.0,https://www.ndk.cz/view/uuid:f5fc43f0-3b91-11dd-aa04-000d606f5dc6?page=uuid:65c3762e-b739-4101-88b5-32009e0056d5
